participant,profession,age,leading_hand,sex,languages,education
277a058c-6372-4840-8b1d-2ac2bac3d5e1,Журналист,22,левая,женщина,Русский,бакалавриат
6d95f5d4-7b88-48f9-b239-b7db98ace329,историк,21,правая,мужчина,русский,бакалавриат
98f0eb92-84a5-4a90-91e7-19d5ce1f7c69,лингвист,23,левая,женщина,русский,магистратура
8cb2bbe8-7546-4bfd-86ab-c183ee89e5ff,филолог,22,владею обеими руками одинаково,женщина,русский,бакалавриат
31208ef9-ccc2-430b-8396-31f49099b749,Маркетолог,39,правая,женщина,Русский,магистратура
65198011-1ade-4194-a77b-59dd176d449f,преподаватель,27,правая,женщина,русский,магистратура
0336dcbb-07aa-48d7-9193-4cda01ce347b,лингвист-преподаватель,31,левая,мужчина,русский,специалитет
60166230-ee41-41ad-8518-af1dbf44b7e6,Лингвист,22,правая,мужчина,Русский,бакалавриат
ef4eeaa5-de10-4cbd-8e42-84e1050a5710,учитель,26,правая,женщина,русский,бакалавриат
b7cf1011-8164-4e96-a6f7-e23141bd35c5,филолог,37,правая,женщина,русский,магистратура
affecae6-6d27-4032-ab8f-c4363a1f5c56,журналист,22,правая,мужчина,Русский,бакалавриат
b55814f2-3c46-4962-90e1-f9a2c45f96ee,Администратор,36,правая,женщина,"Русский, Английский",бакалавриат
9da08e11-8749-4d16-a197-35e9d8e39dc8,лингвист,48,правая,женщина,русский английский,докторантура
70fc483a-a425-4d1d-8b09-ef39178b5674,электрик,23,левая,мужчина,русский,школа
b458c4ee-6bb0-443f-959d-3b36d3ac0612,техник-электроник,56,правая,женщина,РУССКИЙ,бакалавриат
328b6527-bbd1-43c9-a9b1-e1000b996b36,фотограф,18,левая,мужчина,русский,школа
61247104-6b55-4296-b80b-d8a21ddc2d00,юрист,32,правая,женщина,русский,специалитет
ab66f2a9-d165-4f04-9d43-36177c003ab1,юрист,36,правая,женщина,русский,специалитет
c939fab7-fb46-4f33-b5cc-8318a421a55c,Инженер,20,правая,женщина,Русский,бакалавриат
9b019646-86a5-497a-97f0-ad5ad39ffade,Управленец,34,правая,мужчина,Русский,специалитет
51d71c4f-9e9a-4a85-a575-f97967cb7ef5,економист,37,правая,женщина,Русский,бакалавриат
e7085bc3-ed9e-4bb1-96c2-a29219b64b63,Филолог,32,правая,женщина,Русский,специалитет
d19b6b80-72c3-40ae-ad8e-007b80bbdf03,инженер,41,правая,мужчина,русский,бакалавриат
6248b9e6-69d2-4264-aeb0-98410113a090,оценщик движимого и недвижимого имущества,24,левая,женщина,русский,специалитет
8b8f722d-8848-4551-8025-d6ff238a4c36,юрист,36,правая,женщина,русский,специалитет
e0a87825-cedf-42ed-89d1-a1d4c00438fe,техник-электроник,56,правая,женщина,русский,бакалавриат
